Bottle,Average,Low,High
A Midwinter Nights Dram Act 6 Scene 6,331,250,350
A Midwinter Nights Dram Act 7 Scene 1,250,250,250
A Midwinter Nights Dram Act 7 Scene 2,265,250,275
A Midwinter Nights Dram Act 7 Scene 3,289,250,310
A Midwinter Nights Dram Act 7 Scene 4,235,220,250
A Midwinter Nights Dram Act 7 Scene 5,262,225,290
A Midwinter Nights Dram Act 7 Scene 6,200,200,200
A Midwinter Nights Dram Act 8 Scene 1,242,225,260
A Midwinter Nights Dram Act 8 Scene 2,244,225,275
A Midwinter Nights Dram Act 8 Scene 3,240,190,260
A Midwinter Nights Dram Act 8 Scene 4,263,200,450
A Midwinter Nights Dram Act 8 Scene 5,225,225,225
A Midwinter Nights Dram Act 8 Scene 6,215,215,215
A Midwinter Nights Dram Act 9 Scene 1,217,175,250
A Midwinter Nights Dram Act 9 Scene 2,215,190,275
A Midwinter Nights Dram Act 9 Scene 3,227,200,250
A Midwinter Nights Dram Act 9 Scene 4,218,190,240
A Midwinter Nights Dram Act 9 Scene 5,222,190,250
A Midwinter Nights Dram Act 10 Scene 1,210,170,250
A Midwinter Nights Dram Act 10 Scene 2,209,190,240
A Midwinter Nights Dram Act 10 Scene 3,219,200,250
A Midwinter Nights Dram Act 10 Scene 4,200,190,225
A Midwinter Nights Dram Act 10 Scene 5,212,190,230
A Midwinter Nights Dram Act 10 Scene 6,212,190,230
A Midwinter Nights Dram Encore Act 1 Scene 1,304,275,350
Ancient Ancient Age,50,35,70
Anderson Club 10,200,200,200
Angels Envy Cask Strength 2013,1225,1000,1450
Angels Envy Cask Strength 2014,583,450,700
Angels Envy Cask Strength 2015,536,450,675
Angels Envy Cask Strength 2016,475,325,600
Angels Envy Cask Strength 2017,364,320,400
Angels Envy Cask Strength 2018,383,320,500
Angels Envy Cask Strength 2019,374,335,450
Angels Envy Cask Strength 2020,292,250,350
Angels Envy Cask Strength 2021,300,275,325
Angels Envy Cask Strength 2022,296,270,310
Angels Envy Cider,415,350,450
Angels Envy Madeira,372,325,400
Angels Envy Mizunara,1600,1600,1600
Angels Envy Oloroso,363,325,400
Angels Envy Rye,90,90,90
Angels Envy Single Barrel SP,115,115,115
A. Smith Bowman Cask Strength Batch 1,1648,1400,1800
A. Smith Bowman Cask Strength Batch 2,1250,1200,1300
Augusta Buckner's 13,279,250,325
Augusta Buckner's 13 (hazmat),691,615,900
Augusta Old Route 8,225,200,250
Baker's 13 Year Single Barrel,322,300,375
Baker's 7 Year Single Barrel,89,80,105
Bardstown Chateau De Labaude Batch 1,925,800,1000
Bardstown Chateau De Labaude Batch 2,186,115,230
Bardstown Collaborative Series,245,240,250
Bardstown Copper & Kings Apple Brandy Finish,575,550,600
Bardstown Copper & Kings Mistelle Finish,1300,1200,1400
Bardstown Copper & Kings Olorosso Finish,413,375,450
Bardstown Copper & Kings Sherry Finish,400,400,400
Bardstown Destillare,224,200,275
Bardstown Discovery Series #1,294,260,350
Bardstown Discovery Series #2,270,250,300
Bardstown Discovery Series #3,305,285,325
Bardstown Discovery Series #4,243,175,285
Bardstown Discovery Series #5,157,100,225
Bardstown Discovery Series #6,154,120,175
Bardstown Discovery Series #7,144,75,175
Bardstown Discovery Series #8,113,100,125
Bardstown Fercullen,300,300,300
Bardstown Ferrand,168,125,195
Bardstown Founders,161,135,190
Bardstown Foursquare Collaboration,225,225,225
Bardstown French Oak,358,300,400
Bardstown Fusion Series #1,193,185,200
Bardstown Fusion Series #2,209,160,300
Bardstown Fusion Series #3,60,60,60
Bardstown Fusion Series #4,100,100,100
Bardstown Fusion Series #5,115,115,115
Bardstown Fusion Series #6,123,85,160
Bardstown Fusion Series #8,60,60,60
Bardstown Goodwood Honey,1019,900,1200
Bardstown Goodwood Walnut Brown Ale,338,275,400
Bardstown Goose Island,248,175,275
Bardstown MGM Resorts,435,395,475
Bardstown Origin,91,85,95
Bardstown Phifer Pavitt B1,338,225,400
Bardstown Phifer Pavitt B2,176,150,200
Bardstown Plantation Rum,213,150,300
Bardstown Prisoner,198,175,275
Bardstown Triple Blended Stave Finish,306,275,350
Bardstown West Virginia Barrel Company,245,180,300
Barrell 15 Year,200,200,200
Barrell 16 Year Seagrass,227,200,275
Barrell 20 Year,450,450,450
Barrell 20 Year Seagrass,600,600,600
Barrell 24 Year,209,200,230
Barrell Armida,75,75,75
Barrell Batch 24,110,110,110
Barrell Dovetail,163,85,240
Barrell Gold,413,375,425
Barrell Grey Label Cask Strength,200,200,200
Barrell Seagrass,70,70,70
Belle Meade 10 Year Single Barrel,642,475,750
Belle Meade 12 Year Single Barrel,508,500,525
Belle Meade Black Belle,264,200,300
Belle Meade Brandy Finished,325,250,400
Belle Meade Calvados Finished,343,205,450
Belle Meade Cask Strength Reserve,136,120,150
Belle Meade Cherry Finished,488,425,550
Belle Meade Cognac Bourbon,150,150,150
Belle Meade Honey Finished,888,750,1050
Belle Meade Madeira Finished,209,135,300
Belle Meade Mourvedre Finished,329,300,500
Belle Meade Reserve,88,85,90
Belle Meade Sherry Finished,146,85,200
Belle Meade Tannat Finished,540,300,700
Belle Meade Tequila Finished,403,325,500
Belle Meade Vanilla Extract,1375,1250,1500
Belle Meade XO Cognac Finished,174,110,300
Benchmark Bonded,38,30,45
Benchmark Full Proof,46,30,80
Benchmark Single Barrel,45,45,45
Benchmark Top Floor,33,30,35
Bernheim Barrel Proof,93,80,100
Bib & Tucker 6 Year,45,45,45
Bib & Tucker 12 Year,130,125,135
Black Maple Hill Small Batch (NAS),1375,1200,1500
Black Maple Hill Rye,85,85,85
Black Maple Hill 11 Year Bourbon,6250,6250,6250
Black Maple Hill 18 Year Rye,6500,6500,6500
Black Maple Hill 23 Year Rye,7750,7750,7750
Blackened x Wes Anderson,125,100,150
Blade and Bow,55,55,55
Blade and Bow 22 Year,877,750,950
Blantons,119,90,130
Blantons Black,211,200,220
Blantons Gold,233,205,260
Blantons Gold Derby,875,875,875
Blantons Green,260,260,260
Blantons Honey Barrel,1511,1225,1800
Blantons LMDW,925,750,1100
Blantons LMDW 2016 60th Anniversary,1750,1750,1750
Blantons Polish,836,680,1000
Blantons Red,238,220,265
Blantons SFTB,335,270,400
Blantons SP,142,125,150
Blantons Special Release Char No. 4,2200,2200,2200
Blantons Special Reserve,213,175,250
Blaum Bros 12 Year,520,490,550
Blaum Bros Knotter Rye,381,325,425
Blaum Bros Oldfangled Knotter Bourbon,536,500,650
Blaum Bros Oldfangled Knotter Bourbon Madiera,413,400,425
"Blaum Bros Oldfangled Knotter Bourbon ""Cash Grab""",2583,2350,2800
Blood Oath Pact 1,1693,1100,2000
Blood Oath Pact 2,768,500,1000
Blood Oath Pact 3,444,400,475
Blood Oath Pact 4,413,350,480
Blood Oath Pact 5,323,245,500
Blood Oath Pact 6,250,200,300
Blood Oath Pact 7,219,200,275
Blood Oath Pact 8,222,200,250
Blood Oath Pact 9,218,200,250
Blue Note 9,162,80,225
Blue Note 10,155,120,225
Blue Note 17,421,275,525
Blue Note Crossroads,55,55,55
Blue Note Juke Joint SP,68,55,80
Blue Note Special Reserve Cask Strength,388,330,475
Blue Run 13 Year,475,425,550
Blue Run 13.5 Year Cask Strength,900,725,1200
Blue Run 14 Year,332,225,375
Blue Run 14.7 Year,430,430,430
Blue Run Cask Strength Rye,150,125,170
Blue Run Double Oak Single Barrel Rye,250,250,250
Blue Run Emerald Rye,100,100,100
Blue Run Golden Rye,111,70,140
Blue Run High Rye,105,85,120
Blue Run Holiday Fruit,322,250,400
Blue Run Reflection 1,107,70,150
Blue Run Sauvignon Blanc,324,260,400
Blue Run Washington Orchard,125,125,125
Bombergers,185,160,225
Bond and Lillard,80,80,80
Bookers 10th Anniversary Edition,5000,4500,5500
Bookers 25th Anniversary Edition,1395,1200,1600
Bookers 30th Anniversary Edition,832,750,925
Bookers 2013-06,350,350,350
Bookers 2013-07,313,230,365
Bookers 2014-05,275,275,275
"Bookers 2014-06 ""Roundtable""",250,250,250
"Bookers 2015-01 ""Big Man, Small Batch""",464,200,650
"Bookers 2015-02 ""Dot's Batch""",215,160,350
"Bookers 2015-03 ""Center Cut""",356,325,400
"Bookers 2015-04 ""Oven Buster""",350,350,350
"Bookers 2015-05 ""Maw Maw's Batch""",314,250,350
"Bookers 2015-06 ""Noe Secret""",240,240,240
Bookers 2016-01E (export),223,140,275
"Bookers 2016-01 ""Bookers Bluegrass""",210,210,210
"Bookers 2016-02 ""Annis' Answer""",222,200,250
"Bookers 2016-03 ""Toogies Invitation""",245,240,250
"Bookers 2016-04 ""Bluegill Creek""",213,200,220
"Bookers 2016-05 ""Off Your Rocker""",221,200,250
"Bookers 2016-06 ""Noe Hard Times""",223,180,250
"Bookers 2017-01 ""Tommy's Batch""",213,200,225
Bookers 2017-01E (export),195,140,250
"Bookers 2017-02 ""Blue Knights Batch""",192,175,225
"Bookers 2017-03 ""Front Porch""",208,125,280
"Bookers 2017-04 ""Sip Awhile""",238,200,250
"Bookers 2018-01 ""Kathleen's""",186,160,225
"Bookers 2018-02 ""Backyard BBQ""",250,250,250
"Bookers 2018-03 ""Kentucky Chew""",215,195,225
"Bookers 2018-04 ""Kitchen Table""",200,120,250
"Bookers 2019-01 ""Theresa's Batch""",154,100,195
Bookers 2019-01E (export),125,120,130
"Bookers 2019-02 ""Shinny Barrel Batch""",176,140,200
"Bookers 2019-03 ""Country Ham""",252,240,265
"Bookers 2019-04 ""Beaten Biscuits""",205,175,250
"Bookers 2020-01 ""Granny's Batch""",163,130,200
Bookers 2020-01E (export),137,130,150
"Bookers 2020-02 ""Boston Batch""",137,125,175
"Bookers 2020-03 ""Pigskin Batch""",151,135,175
"Bookers 2021-01 ""Donohoes Batch""",128,100,150
"Bookers 2021-02 ""Tagalong Batch""",135,115,150
"Bookers 2021-03 ""Bardstown Batch""",130,90,150
"Bookers 2021-04 ""Noe Strangers Batch""",124,95,140
"Bookers 2022 ""Fred's Pick""",700,400,1000
"Bookers 2022-01 ""Ronnies Batch""",129,110,140
"Bookers 2022-02 ""The Lumberyard Batch""",135,115,165
"Bookers 2022-03 ""Kentucky Tea Batch""",135,120,160
"Bookers 2022-04 ""Pinkie's Batch""",133,100,160
"Bookers 2023-01 ""Charlie's Batch""",135,125,145
"Bookers 2023-02 ""Apprentice Batch""",133,110,150
Bookers Batch B93-L-16,643,600,700
Bookers Batch B94-E-13 (126 proof),400,400,400
Bookers Batch B95-C-31,450,450,450
Bookers Batch B96-L-23,492,450,550
Bookers Batch B-C-19-87,717,500,950
Bookers Batch B-H-01-83 (private stock),3100,2950,3250
Bookers Batch B-K-28-84,950,950,950
Bookers Batch C-01-K-07,450,450,450
Bookers Batch C-02-A-18,475,450,500
Bookers Batch C-02-I-24,700,700,700
Bookers Batch C-03-I-17,675,675,675
Bookers Batch C-05-A-12,350,350,350
Bookers Batch C-06-B-15,300,300,300
Bookers Batch C-06-K-8,333,250,400
Bookers Batch C-07-A-12,300,300,300
Bookers Batch C-07-B-7,370,240,500
Bookers Batch C-B-04-82,1500,1500,1500
"Bookers Batch C-B-16-79 (first batch, hand numbered)",2750,2750,2750
Bookers Batch C-C-16-82,1500,1500,1500
Bookers Batch C-E-15-84,1453,800,2700
Bookers Batch C-E-19-81,1575,1300,1750
Bookers Batch C-I-17-82,950,950,950
Bookers Batch C-I-27-82,1500,1500,1500
Bookers Batch C-J-06-86,725,600,850
Bookers Batch C-K-03-82,1163,1150,1175
Bookers Batch C2014-05,250,250,250
Bookers Batch C87-B-19,638,625,650
Bookers Batch C87-D-14,637,599,675
Bookers Batch C87-D-21,756,625,950
Bookers Batch C90-D-11,580,540,600
Bookers Batch C90-E-14,675,550,800
Bookers Batch C90-K-28,575,575,575
Bookers Death Bottle,2225,2100,2350
"Bookers Little Book Chapter 1 ""The Easy""",411,345,470
"Bookers Little Book Chapter 2 ""Noe Simple Task""",293,190,400
"Bookers Little Book Chapter 3 ""The Road Home""",300,260,350
"Bookers Little Book Chapter 4 ""Lessons Honored""",217,180,250
"Bookers Little Book Chapter 5 ""The Invitation""",179,140,230
"Bookers Little Book Chapter 6 ""To the Finish""",185,150,225
"Bookers Little Book Chapter 7 ""In Retrospect""",260,250,270
Booker Noe's 1999 Distillers Masterpiece 18 Year,1500,1500,1500
Bookers Rye (2016 Limited Edition),2122,2000,2300
Bookers Seijo Batch 3,2000,2000,2000
Bookers 1983 Uncut,2500,2500,2500
Boone County 1833 10 Year,263,200,295
Boone County 1833 12 Year,875,800,1000
Boone County 1833 13 Year,800,750,850
Boone County 1833 14 Year,815,600,1000
Boone County 6 Year Wheated,269,250,275
Boone County 7 Year Wheated,363,325,425
Boone County 8 Year Wheated,359,250,400
Boone County 9 Year Wheated,442,375,500
Boone County Anna Finished,155,110,200
Boone County Honey Soaked Cask,288,250,325
Boone County Maple Cask,145,100,250
Boone County Single Barrel 5 Year,103,85,115
Boone County Single Barrel 5 Year Rye,132,110,150
Boone County Single Barrel 6 Year Rye,125,125,125
Boone County Single Barrel 6 Year,139,100,225
Boone County Single Barrel 7 Year,122,115,130
Boone County Single Barrel 8 Year,335,275,395
Boone County Single Barrel 14 Year,790,725,850
Boone County Single Barrel 15 Year Cask Strength,3000,3000,3000
Boone County Small Batch Rye,50,50,50
Boone County Toasted Cask,93,85,110
Bower Hill Barrel Strength,110,110,110
Bowman Brothers Single Barrel SP,110,110,110
Buffalo Trace Kosher Rye,85,75,95
Buffalo Trace Kosher Straight Rye,93,80,100
Buffalo Trace Kosher Wheat,89,75,100
Buffalo Trace SP,57,45,65
Bulleit 12 Year Rye,100,100,100
Bulleit Blenders Select B1,100,100,100
Buffalo Trace Experimental 23 Yr Giant French Oak,1300,1300,1300
Buffalo Trace Experimental Seasoned Stave 36m,300,300,300
Buffalo Trace Experimental Seasoned Stave 48m,300,300,300
C. Dully 11 Year,683,600,800
C. Dully 24 Year,673,625,750
Calumet 14 Year,125,90,150
Calumet 15 Year,135,90,200
Calumet 16 Year,154,130,195
Calumet Farms Small Batch,75,65,85
Cardinal Barrel Proof SP,100,100,100
Castle and Key Batch 1,104,75,135
Castle and Key Batch 2,72,60,90
Castle and Key Batch 3,73,60,90
Castle and Key Batch 4,65,65,65
Castle and Key Restoration Rye Single Barrel,100,60,150
Castle and Key Wheated Batch 1,163,100,225
Chicken Cock Cotton Club Rye,225,225,225
Compass Box Double Single,220,220,220
Compass Box Phenomenology,230,230,230
Compass Box Stranger & Stranger,230,230,230
Coppercraft 7 Year SP,85,85,85
Cream of Kentucky 7.5,135,135,135
Cream of Kentucky 11.5,139,100,180
Cream of Kentucky 12.3,120,115,125
Cream of Kentucky 13,252,250,255
Cream of Kentucky BiB Rye,107,85,130
Daniel Weller,2233,2000,2500
Doc Swinson 15 Year Batch 6,275,250,300
Doc Swinson 15 Year Batch 7,248,220,275
Doc Swinson 15 Year Batch 8,216,195,225
Doc Swinson 15 Year Batch 9,233,220,245
Doc Swinson 15 Year Batch 10,200,200,200
Doc Swinson 15 Year Batch 11,250,250,250
Double Eagle Very Rare (2019),12750,12000,14500
Double Eagle Very Rare (2020),13050,13000,13100
Eagle Rare,60,50,70
Eagle Rare SP,91,75,110
Eagle Rare 17 (2001),3000,3000,3000
Eagle Rare 17 (2006),2617,2250,3000
Eagle Rare 17 (2007),2000,2000,2000
Eagle Rare 17 (2008),2013,1900,2200
Eagle Rare 17 (2009),1900,1900,1900
Eagle Rare 17 (2010),1960,1800,2250
Eagle Rare 17 (2011),1883,1800,2150
Eagle Rare 17 (2012),1700,1500,1900
Eagle Rare 17 (2013),1860,1700,2000
Eagle Rare 17 (2014),1850,1750,2000
Eagle Rare 17 (2015),1600,1600,1600
Eagle Rare 17 (2016),1669,1580,1800
Eagle Rare 17 (2017),1692,1575,1850
Eagle Rare 17 (2018),1825,1700,1950
Eagle Rare 17 (2019),1652,1400,1850
Eagle Rare 17 (2020),1542,1400,1650
Eagle Rare 17 (2021),1620,1500,1700
Eagle Rare 17 (2022),1565,1500,1625
Early Times BiB,60,50,65
EH Taylor 18 Year Marriage,2236,2100,2350
EH Taylor Amaranth Grain of the Gods,1384,1250,1500
EH Taylor Barrel Proof Batch 1,5250,5000,5500
EH Taylor Barrel Proof Batch 2,2164,1750,2700
EH Taylor Barrel Proof Batch 3,1118,800,1400
EH Taylor Barrel Proof Batch 4,800,700,900
EH Taylor Barrel Proof Batch 5,722,525,800
EH Taylor Barrel Proof Batch 6,614,525,725
EH Taylor Barrel Proof Batch 7,593,530,675
EH Taylor Barrel Proof Batch 8,552,425,625
EH Taylor Barrel Proof Batch 9,474,400,540
EH Taylor Barrel Proof Batch 10,458,425,500
EH Taylor Barrel Proof Batch 11,423,400,450
EH Taylor Barrel Proof Batch 12,460,430,475
EH Taylor Cured Oak,3280,3000,3875
EH Taylor Four Grain,1145,1050,1250
EH Taylor Old Fashioned Sour Mash,13500,12000,15000
EH Taylor Seasoned Wood,2168,2000,2400
EH Taylor Single Barrel,203,195,225
EH Taylor Single Barrel SP,268,225,350
EH Taylor Small Batch,99,80,110
EH Taylor Straight Rye,205,180,230
EH Taylor Warehouse C,1254,1100,1500
EH Taylor Warehouse C Tornado Surviving,6018,4850,7500
Elijah Craig 18 Year,219,200,230
Elijah Craig 18 Year (old label),364,315,550
Elijah Craig 20 Year,1660,1550,1750
Elijah Craig 21 Year,989,850,1100
Elijah Craig 23 Year,1020,850,1350
Elijah Craig Barrel Proof,120,75,185
Elijah Craig Barrel Proof Private Barrel,109,80,125
Elijah Craig Toasted Barrel,85,75,95
Elijah Craig Toasted Barrel Ryder Cup LE,189,150,200
Elmer T Lee,260,250,280
Elmer T Lee SP,1033,1000,1050
Elmer T Lee 100 Year Tribute,750,600,850
Elmer T Lee 15 Year Single Barrel Reserve,3450,3450,3450
Elmer T Lee 90th,7675,7000,8000
Elmer T Lee Death Bottle,1499,1200,1750
Evan Williams 12,171,140,200
Evan Williams 23,705,600,800
Evan Williams Single Barrel,90,90,90
Evan Williams Derby,200,170,230
Four Gate 10 Year Indiana Foundation,345,295,400
Four Gate 14 Year Indiana Foundation,1770,1250,2500
Four Gate Andalusia Key II,155,155,155
Four Gate Andalusia Key Rye,155,155,155
Four Gate Batch 4,250,250,250
Four Gate BRBN DOWNNREDNU,255,210,325
Four Gate Foundation Batch 3,500,500,500
Four Gate Foundation Batch 5,500,500,500
Four Gate Japanes Mizunara Oak,,,
Four Gate Private Select Cask,350,350,350
Four Gate River Kelvin Rye,250,250,250
Four Gate Ruby Rye Springs,300,300,300
Four Gate RYE DOWNREDNU,250,250,250
Four Gate Saint Charente,290,290,290
Four Gate Split Stave,292,250,325
Four Gate The Bluegrass Trilogy I,370,370,370
Four Gate The Bluegrass Trilogy II,370,370,370
Four Gate The Bluegrass Trilogy III,310,250,370
Four Gate The Kelvin Collaboration I,450,400,500
Four Gate The Kelvin Collaboration II,315,250,380
Four Gate The Kelvin Collaboration IIII,273,210,300
Four Gate The Kelvin Collaboration V,233,230,235
Four Roses 120th,1417,1300,1500
Four Roses 125th,1132,900,1300
Four Roses 20th,1133,1100,1200
Four Roses 40th,1267,900,1500
Four Roses 50th,1644,1550,1750
Four Roses Marriage 2008,2025,1825,2250
Four Roses Marriage 2009,1938,1750,2200
Four Roses Small Batch LE (2010),1150,1100,1250
Four Roses Small Batch LE (2011),1121,1000,1250
Four Roses Small Batch LE (2012),1698,1500,1995
Four Roses Small Batch LE (2013),1000,650,1250
Four Roses Small Batch LE (2014),582,515,650
Four Roses Small Batch LE (2015),610,500,700
Four Roses Small Batch LE (2016),529,450,600
Four Roses Small Batch LE (2016) Elliotts Select,580,450,700
Four Roses Small Batch LE (2017),480,400,550
Four Roses Small Batch LE (2018) 130th Anniversary,489,450,650
Four Roses Small Batch LE (2019),493,425,550
Four Roses Small Batch LE (2020),411,350,450
Four Roses Small Batch LE (2021),415,360,450
Four Roses Small Batch LE (2022),371,325,425
Four Roses Secretariat,792,625,1000
Four Roses Single Barrel,55,55,55
Four Roses Single Barrel LE 2009,825,750,900
Four Roses Single Barrel LE 2011,619,600,650
Four Roses Single Barrel LE 2012,620,575,675
Four Roses Single Barrel LE 2013,615,500,750
Four Roses Single Barrel LE 2014,588,550,625
Four Roses Single Barrel OBSF,175,140,240
Four Roses Single Barrel OBSK,165,115,250
Four Roses Single Barrel OBSO,196,160,225
Four Roses Single Barrel OBSQ,176,125,215
Four Roses Single Barrel OBSV,147,125,160
Four Roses Single Barrel OESF,159,125,215
Four Roses Single Barrel OESK,191,150,300
Four Roses Single Barrel OESO,210,160,280
Four Roses Single Barrel OESQ,176,125,200
Four Roses Single Barrel OESV,220,150,275
Four Roses Single Barrel OFBS,275,275,275
Four Roses Super Premium,192,155,250
Frank August Small Batch,99,75,110
Frank August Single Barrel Cask Strength,200,200,200
Frey Ranch Single Barrel,144,95,200
Garrison Brothers 2015 Cowboy Bourbon,500,500,500
Garrison Brothers 2017 Cowboy Bourbon,400,400,400
Garrison Brothers 2019 Cowboy Bourbon,200,200,200
Garrison Brothers 2020 Cowboy Bourbon,350,350,350
Garrison Brothers 2021 Cowboy Bourbon,290,200,390
Garrison Brothers 2022 Cowboy Bourbon,293,250,300
Garrison Brothers Balmorhea,184,160,200
Garrison Brothers Guadalupe,213,180,245
Garrison Brothers Honey Dew,90,90,90
Garrison Brothers Hurricane Tough,450,450,450
Garrison Brothers Hye Rye,1500,1500,1500
Garrison Brothers Lady Bird,289,250,320
Garrison Brothers Laguna Madre,475,400,500
Garrison Brothers Single Barrel Cask Strength,190,190,190
George Dickel 15,75,50,90
George Dickel 17 Year Cask Reserve,297,225,330
George T Stagg (2003),4575,3800,5250
George T Stagg (2004),3631,3000,4500
George T Stagg (2005),3815,3250,4500
George T Stagg (2006),3086,2500,3800
George T Stagg (2007),3225,3000,3600
George T Stagg (2008),2552,2125,3300
George T Stagg (2009),2436,2050,2800
George T Stagg (2010),2506,1970,3200
George T Stagg (2011),2353,2000,2700
George T Stagg (2012),2309,2200,2400
George T Stagg (2013),1400,1200,1500
George T Stagg (2014),1514,1400,1800
George T Stagg (2015),1409,1250,1600
George T Stagg (2016),1720,1600,1900
George T Stagg (2017),965,920,1050
George T Stagg (2018),968,850,1100
George T Stagg (2019),882,850,950
George T Stagg (2020),927,900,1000
George T Stagg (2022),969,940,1000
Good Times 9 Year SP,160,160,160
Good Times Cigar Blend,195,195,195
Good Times Honey,100,100,100
Good Times Toasted Rye,165,165,165
H. Deringer Bourbon Whiskey,150,150,150
Hancock's Reserve,117,90,135
Hardin's Creek 15.3 Year,241,220,275
Hardin's Creek Clermont,275,250,300
Hardin's Creek Colonel JB,134,90,175
Heaven Hill 7 Year BiB,77,60,100
Heaven Hill 8 Year Barrel Proof,350,350,350
Heaven Hill 17 Year Barrel Proof,1109,1000,1200
Heaven Hill 20 Year Barrel Proof,713,650,800
Heaven Hill 27 Year Barrel Proof,2014,1800,2500
Heaven Hill 85th,5500,5500,5500
Heaven Hill Bardstown Collection Bardstown Bourbon Company,370,265,450
Heaven Hill Bardstown Collection Heaven Hill,338,250,450
Heaven Hill Bardstown Collection Lux Row,370,300,440
Heaven Hill Select Stock 9 Year Malt Whiskey,375,375,375
Heaven Hill Select Stock 14 Year Wheat Whiskey,414,375,450
Heaven Hill Select Stock 14 Year You Do You Experience,420,420,420
Heaven Hill Select Stock 15 Year Chinquapin Bourbon,364,315,475
Heaven Hill Select Stock 15 Year Chinquapin Rye,300,300,300
Heaven Hill Select Stock 18 Year,1500,1500,1500
Heaven Hill Select Stock Cognac,700,400,1000
Heaven Hill Select Stock Toasted,390,300,425
Heaven's Door 10 Year,108,90,130
Heaven's Door Bootleg Series 1,1000,500,1500
Heaven's Door Bootleg Series 2,550,550,550
Heaven's Door Bootleg Series 3,565,565,565
Heaven's Door Bootleg Series 4,530,475,650
Henry McKenna 10 Year,74,60,90
Hidden Barn Small Batch,125,93,155
Hidden Barn Single Barrel,134,100,155
High West 14 Year B2,469,425,500
High West 21 Year Rocky Mountain Rye,1400,1100,1600
High West 7000,80,80,80
High West American Prairie Barrel Select,55,55,55
High West Bourye,179,150,215
High West Campfire,110,110,110
High West Cask Strength,133,120,150
High West Double Rye,30,30,30
High West Dr. Madeira,125,125,125
High West High Country,111,60,200
High West Rendezvous,83,65,115
High West Rocky Mountain Rye 16 year,1050,800,1300
High West The Prisoner,293,250,325
High West The Prisoner Batch 2,230,160,290
High West U.S. Grant,850,850,850
High West Valley Tan Batch 2,328,325,330
High West Yipp-Ki-Yay Batch 1,515,515,515
High West Yipp-Ki-Yay Batch 2,350,350,350
High West Yipp-Ki-Yay Batch 3,325,250,400
High West Yipp-Ki-Yay Batch 4,400,400,400
High West Yipp-Ki-Yay Batch 5,298,275,320
